@id, @lon, @lat, name, addr:street, addr:housenumber, addr:city, addr:country, opening_hours, website, phone
365292857, 21.4044920, 41.9973251, , , , , , , , 
365292859, 21.4043619, 41.9968067, , , , , , , , 
365292860, 21.4052236, 41.9966872, , , , , , , , 
365292861, 21.4053538, 41.9972056, , , , , , , , 
365809239, 21.3901379, 42.0014364, , , , , , , , 
365809241, 21.3900091, 42.0009385, , , , , , , , 
365809242, 21.3904510, 42.0008754, , , , , , , , 
365809243, 21.3905799, 42.0013733, , , , , , , , 
365814518, 21.3950133, 42.0044756, , , , , , , , 
365814520, 21.3949059, 42.0040370, , , , , , , , 
365814521, 21.3952139, 42.0039954, , , , , , , , 
365814522, 21.3953213, 42.0044340, , , , , , , , 
367666001, 21.3829246, 42.0063820, , , , , , , , 
1615844916, 21.3989021, 42.0034268, КОСМО Тинекс, , , , , , , 
1848683423, 21.4081332, 42.0031317, , , , , , , , 
1848683429, 21.4077567, 42.0028091, , , , , , , , 
1848683443, 21.4080417, 42.0027694, , , , , , , , 
1848683451, 21.4078482, 42.0031714, , , , , , , , 
2000505737, 21.3922837, 42.0048803, Ramstore, Љубљанска, , Skopje, , 08:00-22:00, http://ramstore.com.mk, 
3506695094, 21.4010606, 41.9938931, Кам маркет Козле, Козле, 53, Скопје, , Mo-Sa 08:00-21:30; Su 08:00-16:00, http://www.kam.com.mk, +389 2 3085233
3614132047, 21.3831193, 42.0050579, Фреш маркет Бојди, Булевар Партизански Одреди, , Скопје, , , , 
3633126813, 21.4050875, 41.9967060, Стопанска Банка, , , , , 24/7, , 
3634182099, 21.3904792, 42.0009843, , , , , , , , 
3634182100, 21.3900359, 42.0010421, , , , , , , , 
3635145515, 21.3914204, 42.0017143, Кам маркет Тафталиџе, Лондонска, бб, Скопје, , Mo-Sa 07:30-21:30; Su 07:30-16:00, http://www.kam.com.mk, +389 2 3074733
3663767993, 21.4152599, 42.0035081, Рептил маркет, , , Cкoпje, , 07:00 - 21:30, , 
4128439126, 21.3877715, 41.9998735, , , , , , , , 
4128439131, 21.3875019, 41.9999094, , , , , , , , 
4128439144, 21.3877938, 41.9999662, , , , , , , , 
4128439147, 21.3875243, 42.0000021, , , , , , , , 
4151705280, 21.4207815, 41.9948735, Веро 5, , , , , 08:00-22:00; May 01 off, https://vero.com.mk/Marketi/Vero5, +389 2 3220244
4321893087, 21.4233757, 41.9983625, Kapael Tobacco, Булевар Партизански Одреди, 23, , , Mo-Su 08:00-01:00, http://www.facebook.com/tobaccokapael/?fref=ts, 02 6090240
4520690226, 21.4170411, 41.9929193, , , , , , , , 
4520690227, 21.4165200, 41.9931984, , , , , , , , 
4520690229, 21.4164732, 41.9929896, , , , , , , , 
4520690230, 21.4170879, 41.9931280, , , , , , , , 
4616754990, 21.4085105, 41.9972875, Рептил, Атинска, , , , , , 
4676812990, 21.4001181, 42.0068382, Granap 1, , , , , , , 
4732551922, 21.4121462, 42.0005257, Рептил, , , , , , , 
4774073690, 21.4199718, 41.9929149, Тинекс, , , , , Mo-Su 08:00-22:00, , 
4900357523, 21.4168227, 42.0011849, , , , , , Mo-Sa 09:00-22:00, , 
5017111222, 21.4175012, 42.0007316, КАМ, , , , , , , 
5244290632, 21.3863636, 42.0055125, , , , , , , , 
5244290633, 21.3863735, 42.0055529, , , , , , , , 
5244290635, 21.3863199, 42.0053354, , , , , , , , 
5244290636, 21.3864705, 42.0055397, , , , , , , , 
5244290637, 21.3864169, 42.0053222, , , , , , , , 
5282605690, 21.3885899, 42.0078524, , , , , , , , 
5282605691, 21.3886389, 42.0080527, , , , , , , , 
5282605692, 21.3885383, 42.0080663, , , , , , , , 
5282605693, 21.3884893, 42.0078660, , , , , , , , 
